Company,ESG_SCORE,Environmental Risk Score,Renewable_Energy_pct,Governance_Score,Stock_Price,Market_Cap,Revenue_Growth,Earnings_Per_Share,PE_Ratio,Debt_to_Equity Ratio,Social Risk Score,Dividend_Yield
TSLA,23.5,3,100,7.6,424.0050048828125,1.40988E+12,0.08,1.67,253.9,0.09,14.1,0
ORSTED.CO,24.5,6.4,99,2.8,105.4000015258789,79691685888,-0.07,7.84,13.44,1.02,10.3,1.25
NEE,26.7,9.9,65,4.6,70.86000061035156,1.45921E+11,0.06,2.87,24.69,1.45,12.2,3.2
VWS.CO,22.1,7.9,100,5,116,1.16057E+11,0.04,5.68,20.42,0.56,9.1,0.47
ENPH,19.9,4.8,100,6.3,38.56999969482422,5043057152,-0.05,1.29,29.9,0.35,8.8,0
AAPL,17.7,2.3,100,8.6,245.12269592285156,3.63772E+12,0.05,6.59,37.2,1.48,8,0.44
MSFT,17.1,3.7,100,4.8,511.7049865722656,3.80359E+12,0.1,13.63,37.54,0.38,8.4,0.72
UNL,18.6,6.9,0,3.2,7.639999866485596,1.52046E+11,-0.09,2.65,23.09,0,8.5,0
BYND,36,18.3,35,6,2.8036999702453613,214892720,-0.05,-2.14,-1.23,0.24,10.6,0
WMT,24,7,48,5.9,102.66000366210938,8.18482E+11,0.05,2.65,38.74,0.74,11,0.91
XOM,45.1,25.5,8,7.7,113.03500366210938,4.81896E+11,-0.04,7.04,16.06,0.18,11.9,3.48
CVX,41,20.4,7,7.5,155.86500549316406,3.1404E+11,-0.03,7.77,20.06,0.2,9.6,4.31
TTE,31.8,13.7,60,7.4,60.63970184326172,1.32004E+11,-0.11,5.52,10.99,1.46,9,6.31
SHEL,37.5,21,43,6.1,70.68000030517578,2.0468E+11,-0.1,4.48,15.78,1.12,9.4,4.01
CAT,28.3,10.2,12,6.4,465.45001220703125,2.18054E+11,-0.05,19.66,23.67,2.18,11.8,1.29
RIO,32.5,14.5,72,5,62.350101470947266,1.02868E+11,-0.01,6.28,9.93,0.25,12.8,6.02
MT,32.8,14.9,20,5,35.36000061035156,26890909696,-0.05,3.28,10.78,0.24,14.6,1.58
F,27.5,12.8,42.6,7.6,11.640000343322754,46325575680,0.03,0.78,14.92,3.5,7.1,5.11
GM,27.6,8.2,42,5.3,59.255001068115234,56415371264,0.05,6.55,9.05,2.05,14.1,1.01
