Company,ESG_SCORE,Environmental Risk Score,Renewable_Energy_pct,Governance_Score,Stock_Price,Market_Cap,Revenue_Growth,Earnings_Per_Share,PE_Ratio,Debt_to_Equity_Ratio,Social Risk Score,Dividend_Yield,Stock_Price_Fetched,Market_Cap_Fetched,Earnings_Per_Share_Fetched,PE_Ratio_Fetched,Debt_to_Equity_Ratio_Fetched,Dividend_Yield_Fetched,ESG_Score,Financial_Score,FinalScore,Sustainability_Impact,LastUpdated,Rank
TSLA,0.2285714285714284,0.9698275862068966,1.0,0.8275862068965516,0.8276679898472378,0.3706353087766114,0.9047619047619048,0.1747706422018348,1.0000000000000002,0.0257142857142857,0.0666666666666667,0.0,441.1799,1466807222272.0,1.67,264.14673,16.823,0.0,0.6185303776683087,0.4719357330431249,0.5452330553557168,0.8413776683087029,2025-09-29T16:22:07.592255,3
ORSTED.CO,0.2642857142857142,0.8232758620689655,0.99,0.0,0.2016035413089212,0.0208963856906657,0.1904761904761904,0.4577981651376146,0.0575000979892603,0.2914285714285714,0.5733333333333331,0.0137362637362637,116.85,88348893184.0,7.84,14.904336,93.262,0.0,0.5301789819376026,0.1762056022524982,0.3531922920950504,0.7727267651888342,2025-09-29T16:22:07.592255,12
NEE,0.3428571428571427,0.6724137931034482,0.65,0.3103448275862069,0.133731830576661,0.038309686310221,0.8095238095238095,0.2298165137614679,0.1015952651589385,0.4142857142857142,0.3200000000000002,0.0351648351648351,75.79,156073787392.0,2.87,26.407667,152.939,299.0,0.4591231527093596,0.2517753792545211,0.3554492659819404,0.5781320197044335,2025-09-29T16:22:07.592255,11
VWS.CO,0.1785714285714285,0.7586206896551724,1.0,0.3793103448275862,0.222432725186404,0.0304577129555977,0.7142857142857143,0.3587155963302751,0.0848586994865362,0.16,0.7333333333333333,0.5164835164835164,121.9,121959686144.0,5.68,21.46127,107.628,46.0,0.6099671592775041,0.2981762806754348,0.4540717199764694,0.7957110016420361,2025-09-29T16:22:07.592255,5
ENPH,0.0999999999999998,0.8922413793103449,1.0,0.603448275862069,0.070281409511447,0.001269442086519,0.2857142857142857,0.1573394495412844,0.1220162270215184,0.0999999999999999,0.7733333333333333,0.0,36.29,4744945664.0,1.29,28.131784,140.21,0.0,0.6738045977011494,0.1052315448392935,0.3895180712702215,0.8479701149425288,2025-09-29T16:22:07.592255,9
AAPL,0.0214285714285713,1.0,1.0,1.0,0.4761610990818907,0.9563887349205946,0.761904761904762,0.4004587155963302,0.1506290910516207,0.4228571428571428,0.88,0.4835164835164834,253.825,3766861955072.0,6.59,38.51669,154.486,41.0,0.7802857142857142,0.521702289846975,0.6509940020663446,0.9121142857142857,2025-09-29T16:22:07.592255,2
MSFT,0.0,0.9396551724137931,1.0,0.3448275862068965,1.0000000000000002,1.0,1.0,0.7233944954128441,0.1519617449927488,0.1085714285714285,0.8266666666666665,0.7912087912087911,514.655,3825516412928.0,13.66,37.676064,32.661,71.0,0.6222298850574712,0.6821623514551162,0.6521961182562936,0.8368229885057471,2025-09-29T16:22:07.592255,1
UNL,0.0535714285714284,0.8017241379310345,0.0,0.0689655172413793,0.0095034145591036,0.0399200980701014,0.0952380952380952,0.2197247706422018,0.0953239524948065,0.0,0.8133333333333334,0.0,,,,,,0.0,0.3475188834154351,0.0656729044291869,0.206595893922311,0.299352380952381,2025-09-29T16:22:07.592255,19
BYND,0.6749999999999998,0.3103448275862068,0.35,0.5517241379310345,0.0,0.0,0.2857142857142857,0.0,0.0,0.0685714285714285,0.5333333333333333,0.0,1.9543,149789520.0,-2.14,,,0.0,0.4840804597701149,0.0506122448979591,0.267346352334037,0.3957011494252874,2025-09-29T16:22:07.592255,17
WMT,0.2464285714285713,0.7974137931034483,0.48,0.5344827586206897,0.1962193972010044,0.2151423628223689,0.761904761904762,0.2197247706422018,0.1566652294908478,0.2114285714285714,0.4800000000000001,1.0,102.65,818413174784.0,2.65,38.735847,68.719,91.0,0.5076650246305419,0.3944407276413937,0.4510528761359678,0.5545487684729065,2025-09-29T16:22:07.592255,6
